Title,Price,Link
PLAYSTATION 5 CONSOLE  Digital VERSION PS5 IN HAND,$650,https://newyork.craigslist.org/brx/vgm/d/bronx-playstation-console-digital/7440181714.html
Sony Playstation 4 Pro 500 million edition,$580,https://newyork.craigslist.org/que/vgm/d/sunnyside-sony-playstation-pro-500/7440113284.html
Nintendo Switch,$250,https://newyork.craigslist.org/brx/vgm/d/bronx-nintendo-switch/7441369590.html
PS4 + 2tb Hard Drive,$250,https://newyork.craigslist.org/brk/vgm/d/brooklyn-ps4-2tb-hard-drive/7443118988.html
NEW Nintendo Switch Pro Controller (new in box),$60,https://newyork.craigslist.org/que/vgm/d/elmhurst-new-nintendo-switch-pro/7445393991.html
MAD CATZ Arcade Fightstick PS3 (Excellent condition),$45,https://newyork.craigslist.org/que/vgm/d/elmhurst-mad-catz-arcade-fightstick-ps3/7435493091.html
Mortal Kombat Ultimate 3 Sega Genesis,$400,https://newyork.craigslist.org/mnh/vgm/d/new-york-mortal-kombat-ultimate-sega/7445386505.html
Bonk 3 TurboGrafx,"$3,000",https://newyork.craigslist.org/mnh/vgm/d/new-york-bonk-turbografx/7445382945.html
super Mario 🌏 Super Nintendo Mint New in box,"$3,000",https://newyork.craigslist.org/mnh/vgm/d/new-york-super-mario-super-nintendo/7445382202.html
2 Game.JVC X Eye 💲.Sega Cd 💯Rare,"$1,600",https://newyork.craigslist.org/mnh/vgm/d/new-york-gamejvc-eye-sega-cd-rare/7445379944.html
Brand New Playstation 5 PS5 Disc Console,$630,https://newyork.craigslist.org/lgi/vgm/d/great-neck-brand-new-playstation-ps5/7436723557.html
Playstation 4 1TB,$400,https://newyork.craigslist.org/brx/vgm/d/new-york-playstation-1tb/7445379303.html
Turbo Duo Cib 1992,"$8,000",https://newyork.craigslist.org/mnh/vgm/d/new-york-turbo-duo-cib-1992/7445377898.html
Sony PS5 Digital. Perfect condition,$550,https://newyork.craigslist.org/brk/vgm/d/brooklyn-sony-ps5-digital-perfect/7445377319.html
"VINTAGE 80""S CASINO SLOT MACHINE",$500,https://newyork.craigslist.org/brk/vgm/d/brooklyn-vintage-80s-casino-slot-machine/7440880831.html
